,MedianICC,MedianICCLower,MedianICCHigher
original_glcm_InverseVariance_20_binCount,0.77509895,0.746591289,0.803291103
original_glcm_MaximumProbability_20_binCount,0.874038469,0.8557886,0.891526746
original_glcm_SumSquares_20_binCount,0.877559763,0.859739762,0.894616974
original_glcm_SumEntropy_20_binCount,0.935431235,0.92533079,0.944922747
original_glrlm_GrayLevelNonUniformity_20_binCount,0.987222514,0.985096965,0.989187222
original_glrlm_GrayLevelNonUniformityNormalized_20_binCount,0.930532012,0.919729779,0.940698859
original_glrlm_GrayLevelVariance_20_binCount,0.856421616,0.836088894,0.87601543
original_glrlm_HighGrayLevelRunEmphasis_20_binCount,0.765463305,0.736141148,0.794550012
original_glrlm_LongRunEmphasis_20_binCount,0.845240865,0.823644509,0.866126608
original_glrlm_LongRunHighGrayLevelEmphasis_20_binCount,0.841049017,0.818990505,0.862410199
original_glrlm_LongRunLowGrayLevelEmphasis_20_binCount,0.801141293,0.774996917,0.826782876
original_glrlm_LowGrayLevelRunEmphasis_20_binCount,0.848934198,0.827750273,0.869397005
original_glrlm_RunEntropy_20_binCount,0.816795339,0.792186237,0.840811201
original_glrlm_RunLengthNonUniformity_20_binCount,0.976517525,0.972659673,0.980095639
original_glrlm_RunLengthNonUniformityNormalized_20_binCount,0.923251351,0.91142282,0.934409982
original_glrlm_RunPercentage_20_binCount,0.907358503,0.893358383,0.920632768
original_glrlm_RunVariance_20_binCount,0.829139216,0.805802004,0.851824526
original_glrlm_ShortRunEmphasis_20_binCount,0.919397678,0.907033944,0.931075527
original_glrlm_ShortRunHighGrayLevelEmphasis_20_binCount,0.76374204,0.734277772,0.792985735
original_glrlm_ShortRunLowGrayLevelEmphasis_20_binCount,0.861384298,0.841626922,0.880393613
original_glszm_GrayLevelNonUniformity_20_binCount,0.938726902,0.929103619,0.947760529
original_glszm_GrayLevelNonUniformityNormalized_20_binCount,0.734798723,0.703097619,0.766553705
original_glszm_GrayLevelVariance_20_binCount,0.809950995,0.784659976,0.834686167
original_glszm_HighGrayLevelZoneEmphasis_20_binCount,0.829593908,0.806304583,0.852229392
original_glszm_LargeAreaEmphasis_20_binCount,0.956791815,0.949856863,0.963264469
original_glszm_LargeAreaHighGrayLevelEmphasis_20_binCount,0.956324704,0.949318683,0.962864664
original_glszm_LargeAreaLowGrayLevelEmphasis_20_binCount,0.956072315,0.949027928,0.962648617
original_glszm_LowGrayLevelZoneEmphasis_20_binCount,0.807908084,0.782416738,0.832855399
original_glszm_SizeZoneNonUniformity_20_binCount,0.930943827,0.920200237,0.941054154
original_glszm_SizeZoneNonUniformityNormalized_20_binCount,0.81875495,0.794344145,0.842562438
original_glszm_SmallAreaEmphasis_20_binCount,0.806862112,0.781268769,0.831917589
original_glszm_SmallAreaHighGrayLevelEmphasis_20_binCount,0.813315574,0.788357703,0.837698792
original_glszm_SmallAreaLowGrayLevelEmphasis_20_binCount,0.795833791,0.769188496,0.822010846
original_glszm_ZoneEntropy_20_binCount,0.89956559,0.88453491,0.913852402
original_glszm_ZonePercentage_20_binCount,0.91417821,0.901098418,0.926552951
original_glszm_ZoneVariance_20_binCount,0.956959365,0.950049926,0.963407864
original_gldm_DependenceEntropy_20_binCount,0.915125235,0.902174613,0.927374074
original_gldm_DependenceNonUniformity_20_binCount,0.973753248,0.969455226,0.97774313
original_gldm_DependenceNonUniformityNormalized_20_binCount,0.846416052,0.824950395,0.86716763
original_gldm_DependenceVariance_20_binCount,0.841852146,0.819881692,0.863122616
original_gldm_GrayLevelNonUniformity_20_binCount,0.993034138,0.99186753,0.994110473
original_gldm_GrayLevelVariance_20_binCount,0.877107013,0.859231488,0.894219838
original_gldm_HighGrayLevelEmphasis_20_binCount,0.762021878,0.732416613,0.791421605
original_gldm_LargeDependenceEmphasis_20_binCount,0.887552211,0.870976746,0.90336775
original_gldm_LargeDependenceHighGrayLevelEmphasis_20_binCount,0.866731979,0.847604577,0.885103863
original_gldm_LargeDependenceLowGrayLevelEmphasis_20_binCount,0.816171461,0.791499513,0.840253436
original_gldm_LowGrayLevelEmphasis_20_binCount,0.869794126,0.851032132,0.887797472
original_gldm_SmallDependenceEmphasis_20_binCount,0.915539254,0.902645207,0.927732976
original_gldm_SmallDependenceHighGrayLevelEmphasis_20_binCount,0.875856018,0.857827463,0.893122219
original_gldm_SmallDependenceLowGrayLevelEmphasis_20_binCount,0.865485929,0.84621081,0.884007042
original_ngtdm_Busyness_20_binCount,0.984957632,0.982461897,0.987266179
original_ngtdm_Coarseness_20_binCount,0.968604657,0.963494597,0.973356149
original_ngtdm_Complexity_20_binCount,0.852940532,0.832209548,0.87294029
original_ngtdm_Contrast_20_binCount,0.817097555,0.792518945,0.84108135
original_ngtdm_Strength_20_binCount,0.930962605,0.920221691,0.941070354
log-sigma-1-0-mm-3D_glcm_Autocorrelation_20_binCount,0.816530511,0.791894715,0.84057445
log-sigma-1-0-mm-3D_glcm_JointAverage_20_binCount,0.818376511,0.793927305,0.842224324
log-sigma-1-0-mm-3D_glcm_ClusterProminence_20_binCount,0.827583341,0.804082827,0.85043871
log-sigma-1-0-mm-3D_glcm_ClusterShade_20_binCount,0.825201807,0.801453001,0.848316169
log-sigma-1-0-mm-3D_glcm_ClusterTendency_20_binCount,0.907292162,0.893283174,0.920575116
log-sigma-1-0-mm-3D_glcm_Contrast_20_binCount,0.919342306,0.906970923,0.931027587
log-sigma-1-0-mm-3D_glcm_Correlation_20_binCount,0.790717867,0.763599098,0.817403499
log-sigma-1-0-mm-3D_glcm_DifferenceAverage_20_binCount,0.925330172,0.913792653,0.936207067
log-sigma-1-0-mm-3D_glcm_DifferenceEntropy_20_binCount,0.907507168,0.893526926,0.920761957
log-sigma-1-0-mm-3D_glcm_DifferenceVariance_20_binCount,0.902885528,0.88829114,0.916742979
log-sigma-1-0-mm-3D_glcm_JointEnergy_20_binCount,0.694090193,0.659725582,0.728962145
log-sigma-1-0-mm-3D_glcm_JointEntropy_20_binCount,0.913810535,0.900680684,0.926234091
log-sigma-1-0-mm-3D_glcm_Imc1_20_binCount,0.722799022,0.690254542,0.755523565
log-sigma-1-0-mm-3D_glcm_Imc2_20_binCount,0.909360729,0.895629022,0.922372197
log-sigma-1-0-mm-3D_glcm_Idm_20_binCount,0.901975376,0.887260974,0.91595083
log-sigma-1-0-mm-3D_glcm_Idmn_20_binCount,0.922188497,0.910211802,0.933490727
